first,second
Willesden Green,260
Wembley Central,246
Edgware,69
Theydon Bois,223
Edgware Road (Bak),70
Piccadilly Circus,174
North Greenwich,156
Perivale,173
Buckhurst Hill,32
Ladbroke Grove,131
East Acton,64
Ickenham,120
Maida Vale,141
Knightsbridge,130
Pinner,176
Sudbury Hill,219
Warwick Avenue,243
London Bridge,139
Wimbledon,262
East Putney,67
Chalk Farm,42
Queensbury,181
Holborn,112
Alperton,4
High Barnet,107
Upminster Bridge,234
Blackhorse Road,23
Stockwell,216
Harrow-on-the-Hill,101
Marylebone,145
Mornington Crescent,151
North Wembley,158
Waterloo,244
Hounslow Central,116
Temple,222
Clapham Common,49
West Ham,251
Boston Manor,26
West Ruislip,255
Willesden Junction,261
Canary Wharf,37
Clapham South,51
Mansion House,143
Colliers Wood,54
Holloway Road,114
Grange Hill,89
Dagenham Heathway,58
Southwark,209
Bromley-by-Bow,31
Holland Park,113
Finchley Central,80
Bounds Green,27
South Woodford,206
Stepney Green,215
Leicester Square,135
Ruislip Gardens,192
Charing Cross,44
Osterley,167
Canons Park,40
Ealing Broadway,61
Gants Hill,84
Kenton,124
Mill Hill East,147
Queensway,182
Balham,11
Dagenham East,57
South Ruislip,204
Gloucester Road,85
Aldgate East,3
Heathrow Terminal 5,104
Hounslow East,117
West Brompton,249
Canada Water,36
Hendon Central,106
Earl's Court,63
Southgate,208
Arsenal,9
Greenford,92
Farringdon,79
Caledonian Road,34
Neasden,152
Old Street,166
Roding Valley,189
Victoria,239
Embankment,74
Angel,6
Regent's Park,186
Tower Hill,229
Highgate,110
Hornchurch,115
Chancery Lane,43
Latimer Road,134
Pimlico,175
Upney,235
Bethnal Green,21
Tottenham Hale,227
Debden,59
Hillingdon,111
Tottenham Court Road,226
Chalfont & Latimer,41
Kentish Town,123
West Harrow,253
Plaistow,177
Golders Green,86
Northwick Park,161
Archway,7
Cannon Street,39
Sloane Square,198
South Ealing,200
St James's Park,210
Uxbridge,237
Amersham,5
Turnpike Lane,232
Richmond,187
East Ham,66
Loughton,140
Bank/Monument,12
Hainault,94
High Street Kensington,108
Leytonstone,137
Royal Oak,190
West Finchley,250
Wood Green,264
Newbury Park,153
Kew Gardens,125
Ruislip,191
Kennington,121
West Hampstead,252
Heathrow Terminals 2 & 3,105
Canning Town,38
Belsize Park,19
Woodside Park,267
Upton Park,236
Camden Town,35
Kingsbury,129
Aldgate,2
Leyton,136
Northolt,160
Hounslow West,118
Covent Garden,55
South Kensington,202
Elm Park,73
North Harrow,157
North Ealing,155
Turnham Green,231
St John's Wood,211
Woodford,266
Clapham North,50
Gunnersbury,93
Hammersmith (H&C),96
Harrow & Wealdstone,100
Northwood Hills,163
Oval,168
Chigwell,46
Highbury & Islington,109
Upminster,233
Finsbury Park,82
Wembley Park,247
Wood Lane,265
Park Royal,171
Swiss Cottage,221
Barbican,13
Tufnell Park,230
Heathrow Terminal 4,103
St Paul's,212
Shepherd's Bush Market,197
Dollis Hill,60
Rickmansworth,188
Harlesden,99
Barkingside,15
Putney Bridge,179
Whitechapel,259
Acton Town,1
Mile End,146
Goodge Street,88
Marble Arch,144
Watford,245
Euston,76
Sudbury Town,220
Fulham Broadway,83
Oxford Circus,169
Hammersmith (Dis),95
Kilburn Park,127
East Finchley,65
Kilburn,126
Russell Square,194
Hanger Lane,98
Totteridge & Whetstone,228
North Acton,154
Blackfriars,22
Snaresbrook,199
Tooting Bec,224
Liverpool Street,138
Moorgate,149
Arnos Grove,8
Wimbledon Park,263
Barking,14
Croxley,56
Hampstead,97
Redbridge,185
Euston Square,77
Colindale,53
Bermondsey,20
Kensal Green,122
Westminster,257
Stratford,218
Tooting Broadway,225
Vauxhall,238
Northfields,159
Bond Street,24
Morden,150
Stonebridge Park,217
Preston Road,178
Northwood,162
Green Park,91
Lancaster Gate,133
Warren Street,242
Notting Hill Gate,164
South Kenton,203
Rayners Lane,184
Burnt Oak,33
Oakwood,165
Shepherd's Bush,196
Cockfosters,52
Parsons Green,172
Becontree,18
Walthamstow Central,240
West Kensington,254
Stanmore,214
Borough,25
Eastcote,68
Fairlop,78
Chorleywood,48
Queen's Park,180
Goldhawk Road,87
Bayswater,17
White City,258
Manor House,142
Hatton Cross,102
King's Cross St Pancras,128
Ruislip Manor,193
Barons Court,16
Finchley Road,81
Epping,75
Paddington,170
Bow Road,28
Ravenscourt Park,183
Moor Park,148
Great Portland Street,90
Wanstead,241
Edgware Road (Cir),71
Elephant & Castle,72
Southfields,207
Chiswick Park,47
Stamford Brook,213
Lambeth North,132
Ealing Common,62
Westbourne Park,256
Brixton,30
Brent Cross,29
Baker Street,10
Seven Sisters,195
South Harrow,201
Chesham,45
South Wimbledon,205
West Acton,248
Hyde Park Corner,119
